Date,Open,High,Low,Close,Volume,Company
03/17/2023,25.1,25.2,25.1,25.1,10600,SASN
03/16/2023,25,26.95,25,25.1,10000,SASN
03/15/2023,25.45,25.45,25.45,25.45,300,SASN
03/14/2023,25.5,25.9,25,25.45,5500,SASN
10/03/2023,25,25,25,25,500,SASN
09/03/2023,24.95,25,24.95,24.95,2100,SASN
08/03/2023,24,25,22,24.4,8500,SASN
07/03/2023,22.4,24,22.4,22.85,1200,SASN
06/03/2023,22.4,24,22,22.55,1300,SASN
02/03/2023,22,22,22,22,700,SASN
01/03/2023,22.5,22.5,22,22.4,1600,SASN
02/28/2023,22,22.5,22,22.25,400,SASN
02/24/2023,22,22,22,22,200,SASN
02/23/2023,23,23,22,22.6,400,SASN
02/22/2023,22,23,22,22.3,36600,SASN
02/21/2023,21.5,21.55,21.5,21.55,1800,SASN
02/20/2023,21.5,21.5,21.5,21.5,400,SASN
02/17/2023,21.5,21.5,21.5,21.5,100,SASN
02/16/2023,21.6,21.6,21,21.1,800,SASN
02/15/2023,22,23,21.5,21.65,2700,SASN
02/14/2023,21.6,21.6,21.6,21.6,4100,SASN
02/13/2023,23,23,21.6,22.4,19200,SASN
10/02/2023,21.5,23,21.5,22.55,50700,SASN
09/02/2023,21.5,21.5,21.5,21.5,4000,SASN
08/02/2023,21.5,21.5,21.5,21.5,3100,SASN
07/02/2023,21.5,21.5,21.5,21.5,100,SASN
06/02/2023,23,23,21.5,21.7,800,SASN
03/02/2023,23,23,23,23,100,SASN
02/02/2023,21.5,21.5,21.5,21.5,1700,SASN
01/02/2023,21.5,23,21.5,21.6,7100,SASN
01/31/2023,21,21.3,21,21.1,6900,SASN
01/30/2023,20.9,21.5,20.9,21.05,8500,SASN
01/26/2023,21,21,21,21,100,SASN
01/24/2023,21,21,21,21,2100,SASN
01/23/2023,21.3,21.3,21.25,21.3,500,SASN
01/20/2023,21.45,21.45,21.45,21.45,400,SASN
01/18/2023,20,21.45,20,20.3,5000,SASN
01/17/2023,20.5,20.5,20.5,20.5,13900,SASN
01/16/2023,21.75,21.75,20.5,20.65,1000,SASN
01/13/2023,21.9,21.9,20.5,21.4,3900,SASN
12/01/2023,22,22,20.5,20.9,3000,SASN
11/01/2023,22.3,22.3,21,21.9,10700,SASN
10/01/2023,21.7,22.3,21.65,22.1,5200,SASN
09/01/2023,22,22.45,22,22.4,4600,SASN
06/01/2023,22.5,22.5,21.7,21.95,300,SASN
05/01/2023,22.5,22.5,22,22.4,4800,SASN
04/01/2023,22.15,22.5,22.1,22.45,6000,SASN
03/01/2023,22,22.5,22,22.45,6900,SASN
12/30/2022,22.1,22.5,22.1,22.45,10800,SASN
12/29/2022,21,21,21,21,100,SASN
12/28/2022,22.5,22.5,20.5,22.05,900,SASN
12/23/2022,22.5,22.5,22.5,22.5,1000,SASN
12/21/2022,22.25,22.25,22,22.05,9600,SASN
12/20/2022,22.05,22.25,22,22.2,5100,SASN
12/19/2022,21.75,22.25,21.75,22,26600,SASN
12/16/2022,22,22,22,22,1000,SASN
12/15/2022,21.9,22,21,21.9,6300,SASN
12/14/2022,21.9,21.9,21.1,21.8,1700,SASN
09/12/2022,22,22,21.3,22,36700,SASN
08/12/2022,22,22,22,22,300,SASN
07/12/2022,22,22,21.05,21.4,1600,SASN
06/12/2022,22,22,22,22,8100,SASN
05/12/2022,22,22,22,22,600,SASN
02/12/2022,22,22,21.05,21.95,3400,SASN
11/29/2022,21,21,21,21,400,SASN
11/28/2022,22.25,23,21,22.15,9400,SASN
11/25/2022,21,22.5,21,22.35,1100,SASN
11/24/2022,21,21,21,21,3100,SASN
11/23/2022,20.95,21,20.95,21,13700,SASN
11/22/2022,22,22,22,22,100,SASN
11/21/2022,20.95,21,20.95,21,92200,SASN
11/18/2022,20,20.95,20,20.7,4000,SASN
11/17/2022,20,20,20,20,200,SASN
11/16/2022,20.5,20.5,20.5,20.5,3100,SASN
11/15/2022,20.5,22.45,20.5,21,400,SASN
11/14/2022,20.5,20.5,20.5,20.5,6300,SASN
11/11/2022,20.5,20.5,20.5,20.5,200,SASN
10/11/2022,22,22.05,22,22,10500,SASN
09/11/2022,22.25,22.25,22,22.05,700,SASN
08/11/2022,22.25,22.25,22,22.25,5200,SASN
07/11/2022,22,22,22,22,800,SASN
04/11/2022,20.95,22,20.95,21,10500,SASN
03/11/2022,20.95,20.95,20.5,20.85,900,SASN
02/11/2022,22,22,21,21.2,700,SASN
10/31/2022,21,21,21,21,24500,SASN
10/28/2022,21,21,21,21,1000,SASN
10/26/2022,21,21,21,21,300,SASN
10/25/2022,20.95,20.95,20,20.3,1500,SASN
10/21/2022,20.9,21.95,20,20.95,4500,SASN
10/19/2022,20.45,21,20.45,20.8,1200,SASN
10/18/2022,20.45,20.45,20,20.05,1300,SASN
10/17/2022,20,20.45,20,20.45,3600,SASN
10/14/2022,19.8,21,19.45,21,19700,SASN
10/13/2022,21.95,21.95,21,21.55,800,SASN
11/10/2022,22,22,21.5,21.95,1900,SASN
07/10/2022,23,23.7,23,23.05,1300,SASN
06/10/2022,23,23,23,23,200,SASN
05/10/2022,23.7,23.7,23.7,23.7,3300,SASN
04/10/2022,23,23,23,23,600,SASN
03/10/2022,24,24,23.7,23.75,5300,SASN
09/30/2022,23.5,24,23.5,23.75,400,SASN
09/29/2022,23.5,23.9,23.5,23.85,1100,SASN
09/28/2022,23.9,23.9,23.9,23.9,900,SASN
09/27/2022,23.9,23.9,23.9,23.9,1200,SASN
09/26/2022,23.9,24,23.9,23.95,4500,SASN
09/23/2022,23.9,23.9,23.9,23.9,4200,SASN
09/22/2022,23,24,23,23.9,1100,SASN
09/21/2022,24,24,24,24,500,SASN
09/20/2022,22,24,22,22.35,1400,SASN
09/19/2022,22.1,22.1,22.1,22.1,1900,SASN
09/16/2022,22.1,22.1,22.1,22.1,2500,SASN
09/15/2022,22.1,22.1,22.1,22.1,1000,SASN
09/14/2022,23.95,23.95,22.1,23.6,500,SASN
12/09/2022,22.1,22.1,22.1,22.1,700,SASN
09/09/2022,23,23.5,23,23.2,2800,SASN
08/09/2022,23,23,23,23,100,SASN
07/09/2022,22.5,23,22,22.5,3500,SASN
06/09/2022,23.5,23.5,22,22.5,1100,SASN
05/09/2022,23.5,23.5,23,23.15,300,SASN
02/09/2022,22.05,23,22.05,22.15,1000,SASN
01/09/2022,22,22.6,22,22.1,500,SASN
08/30/2022,23,23.5,23,23.15,700,SASN
08/29/2022,23.5,23.5,23,23.25,200,SASN
08/26/2022,22.5,22.5,21.15,21.7,1100,SASN
08/25/2022,23.5,23.5,23.5,23.5,200,SASN
08/24/2022,24,24,24,24,200,SASN
08/23/2022,24,24,22.5,23.5,300,SASN
08/22/2022,22.6,24,20.05,22.7,800,SASN
08/19/2022,22.6,22.6,20.4,22.25,6300,SASN
08/17/2022,22.6,22.6,22.6,22.6,100,SASN
08/16/2022,22,22.45,22,22.2,700,SASN
08/15/2022,20.8,21,20.8,20.95,600,SASN
11/08/2022,20.55,21.05,20.55,20.8,600,SASN
08/08/2022,20,21.05,20,20.55,200,SASN
05/08/2022,21,21,21,21,500,SASN
04/08/2022,21,21,21,21,500,SASN
03/08/2022,21,21,19,19.5,1000,SASN
02/08/2022,21,21,21,21,100,SASN
01/08/2022,21,21,21,21,300,SASN
07/29/2022,19.85,21,19.8,20.4,400,SASN
07/28/2022,19.85,19.85,19.85,19.85,100,SASN
07/27/2022,21.9,21.9,19.8,20.5,300,SASN
07/22/2022,22.2,22.2,21.85,21.9,1300,SASN
07/21/2022,21.85,22.6,21.85,22.25,200,SASN
07/20/2022,21.85,21.85,21.85,21.85,100,SASN
07/19/2022,22.2,22.6,22.2,22.5,800,SASN
07/18/2022,22.2,22.2,22,22.15,400,SASN
07/15/2022,22,22.2,22,22,6700,SASN
07/14/2022,22,22,22,22,4000,SASN
07/13/2022,22,22,22,22,100,SASN
12/07/2022,20.8,20.8,20.8,20.8,4600,SASN
08/07/2022,20.8,20.8,20.8,20.8,1900,SASN
07/07/2022,19,19.4,19,19.25,2500,SASN
06/07/2022,19,19,19,19,200,SASN
04/07/2022,19,19,19,19,200,SASN
06/30/2022,19,19,19,19,600,SASN
06/24/2022,19.4,19.4,19.4,19.4,400,SASN
06/23/2022,21.5,22,19.4,20.8,4500,SASN
06/22/2022,21.5,21.5,21.5,21.5,1800,SASN
06/21/2022,21.5,21.5,21.05,21.4,400,SASN
06/20/2022,20.5,21.05,20.5,21,1000,SASN
06/17/2022,20.5,20.5,20.5,20.5,600,SASN
06/16/2022,20.5,20.5,20.5,20.5,200,SASN
06/15/2022,20.5,21.05,20.5,20.8,1500,SASN
06/14/2022,20.5,20.5,20.5,20.5,400,SASN
06/13/2022,20.5,20.5,20.5,20.5,100,SASN
10/06/2022,21,21.05,21,21.05,200,SASN
07/06/2022,20.5,20.5,20.5,20.5,900,SASN
06/06/2022,20.5,20.5,20,20.05,3000,SASN
02/06/2022,20.5,20.5,20.5,20.5,400,SASN
05/31/2022,20.5,20.5,20.05,20.15,600,SASN
05/30/2022,20.5,20.5,20.5,20.5,100,SASN
05/27/2022,20.5,20.5,20.5,20.5,4500,SASN
05/26/2022,20.5,20.5,20.5,20.5,1900,SASN
05/25/2022,20.5,20.5,20.5,20.5,1500,SASN
05/24/2022,20.8,20.8,20.8,20.8,600,SASN
05/23/2022,21,21,20.8,20.9,200,SASN
05/20/2022,21,21,21,21,100,SASN
05/19/2022,21,21,20.5,20.8,800,SASN
05/18/2022,20.5,21,20.5,20.7,7700,SASN
05/17/2022,20.8,20.8,20.5,20.55,3100,SASN
05/16/2022,20.75,21,20.75,20.8,600,SASN
05/13/2022,21,21,20.7,20.75,11300,SASN
12/05/2022,20.5,21.55,20.5,21.05,4000,SASN
11/05/2022,20.7,20.7,20,20.25,300,SASN
09/05/2022,19.2,20.5,19.2,19.25,2000,SASN
05/05/2022,19.2,21,19.2,20.85,1100,SASN
04/05/2022,19.5,21.1,19.5,19.65,1100,SASN
04/28/2022,21,21.2,21,21.1,1300,SASN
04/26/2022,20.5,21.4,20.5,21.2,5100,SASN
04/25/2022,20.5,20.5,20.5,20.5,500,SASN
04/21/2022,21,21,21,21,300,SASN
04/20/2022,21,21,21,21,100,SASN
04/19/2022,20,20,19.5,19.5,3800,SASN
04/14/2022,19.5,19.5,19.15,19.35,5300,SASN
04/13/2022,20.3,20.3,19,19.65,600,SASN
08/04/2022,18.6,18.6,18.6,18.6,3000,SASN
07/04/2022,18.6,18.6,18.6,18.6,1000,SASN
06/04/2022,18.6,18.9,18.6,18.75,200,SASN
05/04/2022,18.5,18.9,18.5,18.6,23100,SASN
01/04/2022,18.6,18.6,18.6,18.6,1500,SASN
03/31/2022,19,19,18.6,18.65,1400,SASN
03/30/2022,18.6,18.6,18.6,18.6,3000,SASN
03/29/2022,18.5,18.5,18.5,18.5,200,SASN
03/28/2022,18.2,18.6,18.2,18.45,1100,SASN
03/25/2022,18.6,18.6,18.6,18.6,4900,SASN
03/24/2022,19.05,19.05,18.3,18.35,1100,SASN
03/23/2022,19.65,20,18.2,19.05,2200,SASN
03/22/2022,18.5,18.5,17.9,18.2,200,SASN
03/21/2022,17.9,19.5,17.9,19.25,1200,SASN
03/18/2022,17.9,17.9,17.9,17.9,300,SASN
03/17/2022,18.3,19.7,17.9,18.45,2200,SASN
03/15/2022,19.7,19.7,19.7,19.7,400,SASN
03/14/2022,19,19.75,19,19.25,2100,SASN
11/03/2022,19.75,19.75,19.75,19.75,1900,SASN
10/03/2022,18.25,20.05,18,18,72500,SASN
09/03/2022,18.3,18.3,18.3,18.3,100,SASN
08/03/2022,18.3,18.3,18,18.25,1400,SASN
07/03/2022,18.3,18.3,18.3,18.3,600,SASN
04/03/2022,18.3,18.3,18,18.1,47200,SASN
03/03/2022,18.3,18.3,18.3,18.3,5100,SASN
02/03/2022,19,19,18.3,18.6,500,SASN
01/03/2022,19,19,19,19,16000,SASN
02/28/2022,20.1,20.1,19,20.05,10500,SASN
02/25/2022,20.1,20.1,20,20.1,12700,SASN
02/24/2022,20.1,21,20,20.05,40200,SASN
02/23/2022,22.1,22.1,20,21.4,600,SASN
02/22/2022,21.9,22.2,20.1,21.7,6800,SASN
02/21/2022,20.95,22.3,20.1,20.2,21100,SASN
