Date, Open, High, Low, Close, Volume
07/12/19, 19.15, 19.50, 18.50, 19.15, 1600
07/11/19, 19.00, 19.00, 19.00, 19.00, 400
07/10/19, 19.00, 19.00, 19.00, 19.00, 12200
07/09/19, 18.95, 19.00, 18.50, 18.95, 2200
07/08/19, 18.85, 19.00, 18.50, 18.85, 900
07/04/19, 19.00, 19.40, 19.00, 19.00, 1400
07/03/19, 19.40, 19.45, 19.00, 19.40, 50600
07/02/19, 19.45, 19.45, 19.45, 19.45, 1000
07/01/19, 19.05, 19.50, 18.10, 19.05, 1300
06/28/19, 18.10, 18.70, 18.10, 18.10, 16500
06/27/19, 18.30, 18.70, 18.00, 18.30, 400
06/26/19, 18.10, 18.10, 18.10, 18.10, 100
06/25/19, 18.85, 19.30, 18.00, 18.85, 3100
06/24/19, 18.70, 19.00, 17.80, 18.70, 3700
06/21/19, 17.80, 18.15, 17.70, 17.80, 18600
06/20/19, 17.70, 17.85, 17.10, 17.70, 5900
06/19/19, 17.55, 18.15, 17.00, 17.55, 10600
06/18/19, 18.15, 18.35, 17.85, 18.15, 12700
06/17/19, 18.25, 18.50, 17.45, 18.25, 17200
06/14/19, 17.70, 17.80, 17.00, 17.70, 3400
06/13/19, 17.00, 17.45, 16.65, 17.00, 2800
06/12/19, 16.55, 16.65, 15.25, 16.55, 23400
06/11/19, 16.65, 16.70, 16.25, 16.65, 2100
06/10/19, 15.25, 16.00, 15.00, 15.25, 800
06/07/19, 14.95, 15.00, 14.95, 14.95, 25900
06/06/19, 14.55, 15.00, 14.50, 14.55, 1200
06/04/19, 15.00, 15.00, 15.00, 15.00, 100
06/03/19, 15.00, 15.00, 15.00, 15.00, 1800
05/31/19, 14.25, 15.00, 14.10, 14.25, 2500
05/30/19, 14.25, 14.35, 14.15, 14.25, 500
05/29/19, 14.55, 15.00, 14.50, 14.55, 13100
05/28/19, 14.35, 14.35, 14.35, 14.35, 200
05/27/19, 14.25, 14.25, 14.25, 14.25, 200
05/24/19, 14.35, 14.95, 14.10, 14.35, 1800
05/23/19, 14.15, 14.20, 14.00, 14.15, 2200
05/22/19, 14.20, 15.00, 14.00, 14.20, 1400
05/21/19, 14.50, 14.50, 14.50, 14.50, 100
05/17/19, 15.00, 15.00, 15.00, 15.00, 1200
05/16/19, 14.60, 15.00, 14.50, 14.60, 3800
05/15/19, 14.95, 15.50, 14.85, 14.95, 1200
05/14/19, 15.35, 15.50, 15.00, 15.35, 9900
05/13/19, 15.65, 16.50, 15.00, 15.65, 900
05/10/19, 15.60, 16.00, 15.50, 15.60, 3900
05/09/19, 15.00, 15.00, 15.00, 15.00, 1000
05/08/19, 15.00, 15.15, 15.00, 15.00, 2800
05/07/19, 15.50, 15.50, 15.50, 15.50, 2100
05/06/19, 16.10, 17.00, 16.00, 16.10, 1500
05/02/19, 16.00, 16.00, 16.00, 16.00, 100
04/30/19, 15.50, 15.50, 15.50, 15.50, 100
04/29/19, 15.60, 15.75, 15.50, 15.60, 2200
04/26/19, 15.75, 16.00, 15.20, 15.75, 1200
04/25/19, 15.50, 15.50, 15.50, 15.50, 23700
04/24/19, 15.20, 15.20, 15.20, 15.20, 300
04/23/19, 15.15, 15.20, 15.15, 15.15, 1300
04/18/19, 15.20, 15.30, 15.20, 15.20, 17300
04/17/19, 15.05, 15.10, 15.05, 15.05, 6900
04/16/19, 15.15, 15.20, 15.05, 15.15, 9700
04/15/19, 15.05, 15.20, 15.05, 15.05, 1800
04/12/19, 15.20, 15.50, 15.00, 15.20, 86900
04/11/19, 15.10, 15.30, 15.05, 15.10, 13500
04/10/19, 15.45, 15.45, 15.45, 15.45, 200
04/09/19, 15.00, 15.45, 14.50, 15.00, 900
04/08/19, 15.15, 15.45, 15.00, 15.15, 2100
04/05/19, 15.45, 15.50, 15.30, 15.45, 2500
04/04/19, 15.30, 15.70, 15.25, 15.30, 3500
04/03/19, 16.20, 17.00, 15.70, 16.20, 4400
04/02/19, 16.90, 17.60, 16.70, 16.90, 600
04/01/19, 16.70, 17.00, 16.30, 16.70, 500
